customer_id,recency,frequency,monetary_total,monetary_avg,monetary_std,monetary_variance
12346.0,326,48,580.44,12.092500000000001,24.301569645478516,590.5662872340428
12347.0,2,253,644.16,2.546086956521739,2.1562688472486236,4.649495341614908
12348.0,75,51,193.1,3.7862745098039214,10.677136125531849,114.00123584313727
12349.0,19,180,1504.59,8.358833333333333,32.363722263408086,1047.4105187430162
12350.0,310,17,65.3,3.841176470588235,9.334750855240422,87.1375735294118
12351.0,375,21,49.46,2.355238095238095,2.7357533131618776,7.484346190476191
12352.0,36,113,2265.7,20.050442477876103,64.96861753940158,4220.921264981038
12353.0,204,24,63.08,2.6283333333333334,2.536731321425556,6.435005797101447
12354.0,232,58,261.22,4.5037931034482765,4.342805636745455,18.859960798548094
12355.0,214,35,107.43,3.069428571428572,2.8821161984751074,8.306593781512605
12356.0,23,143,450.25,3.1486013986013988,4.213591289062768,17.754351551265636
12357.0,33,296,1834.31,6.196993243243243,49.31339335463649,2431.810764149106
12358.0,2,77,413.34,5.3680519480519475,7.581694547249461,57.482092207792206
12359.0,8,375,2787.89,7.434373333333333,17.231162653295165,296.9129663843141
12360.0,52,218,736.13,3.376743119266055,7.1284322600908245,50.814546486703584
12361.0,287,29,112.25,3.8706896551724137,4.558499072403486,20.779913793103443
12362.0,3,275,1213.29,4.4119636363636365,8.623788170371066,74.36972240743194
12363.0,110,23,53.17,2.3117391304347827,2.4585576928056323,6.044505928853754
12364.0,8,85,162.37,1.910235294117647,3.29279551823826,10.842502324929972
12365.0,291,23,698.0,30.347826086956523,91.64802135227232,8399.359817786564
12366.0,634,3,5.07,1.6900000000000002,0.0,0.0
12367.0,4,11,35.2,3.2,5.0844311382887275,25.851440000000004
12368.0,628,18,79.05,4.391666666666667,4.1127581270680995,16.9147794117647
12369.0,413,93,292.85,3.148924731182796,7.003264217548469,49.04570970079477
12370.0,51,202,692.01,3.4257920792079206,5.5492228505540355,30.793874245111056
12371.0,45,167,665.9300000000001,3.9876047904191623,5.952028935184884,35.4266484452781
12372.0,72,52,156.07,3.001346153846154,3.880862057481637,15.061090309200603
12373.0,311,51,236.0,4.627450980392157,9.131962076823854,83.39273137254904
12374.0,25,83,288.72,3.47855421686747,6.282425765098693,39.4688734939759
12375.0,3,18,119.60000000000001,6.644444444444445,12.243614048446654,149.90608496732025
12376.0,390,13,104.4,8.03076923076923,14.246293940026685,202.95689102564106
12377.0,315,152,416.52,2.7402631578947365,4.753805717997054,22.598668804461482
12378.0,130,301,1017.41,3.380099667774086,4.486021510206258,20.124388990033232
12379.0,82,82,237.5,2.8963414634146343,3.10875724929588,9.664371635049687
12380.0,22,283,4277.570000000001,15.115088339222616,127.09388834306243,16152.85645415882
12381.0,5,91,417.04,4.582857142857143,7.243273705187039,52.46501396825398
12382.0,682,1,18.38,18.38,0.0,0.0
12383.0,185,100,309.36,3.0936000000000003,4.104161110902254,16.844138424242423
12384.0,29,30,227.27,7.575666666666667,9.424457062321427,88.82039091954022
12385.0,379,66,254.25,3.852272727272727,3.5150711976396045,12.355725524475524
12386.0,338,18,45.72,2.54,2.208145349009648,4.8759058823529395
12387.0,415,9,24.86,2.7622222222222224,5.342931727473639,28.54691944444444
12388.0,16,146,412.41,2.8247260273972605,1.8372810477875403,3.375601648559282
12389.0,403,49,130.06,2.6542857142857144,1.8944425301391432,3.5889124999999984
12390.0,80,32,127.9,3.996875,4.704499176320471,22.132312499999994
12391.0,22,287,1074.0,3.7421602787456445,7.107661054561383,50.518845666528634
12392.0,591,7,35.25,5.035714285714286,3.2436751642895083,10.521428571428569
12393.0,72,112,283.8,2.5339285714285715,1.9422775509545696,3.7724420849420803
